datetime,TEMP,PRESSURE,WIND_DIRECTION,WIND_SPEED,HUMIDITY_RELATIVE,Vlinder,PRECIP_QUANTITY,TEMP_SYNOP,community_name,WIND_SPEED_SYNOP,RAD_SYNOP
2020-06-06 00:00:00,9.8,99983,205,16.3,82,vlinder16,0.0,9.4,Stabroek,,0.0
2020-06-06 01:00:00,10.0,100020,255,7.5,83,vlinder16,0.0,9.3,Stabroek,,0.0
2020-06-06 02:00:00,9.3,99976,175,8.6,87,vlinder16,0.0,9.4,Stabroek,,0.0
2020-06-06 03:00:00,8.9,99972,195,10.3,89,vlinder16,0.0,9.1,Stabroek,,0.0
2020-06-06 04:00:00,9.1,100017,235,9.6,89,vlinder16,0.0,9.1,Stabroek,,500.0
2020-06-06 05:00:00,9.6,100065,255,11.7,89,vlinder16,0.4,9.2,Stabroek,,44300.0
2020-06-06 06:00:00,10.0,100063,205,10.5,90,vlinder16,0.0,9.2,Stabroek,,109500.0
2020-06-06 07:00:00,11.2,100056,225,18.1,84,vlinder16,0.0,11.1,Stabroek,,896700.0
2020-06-06 08:00:00,12.3,100073,235,23.1,75,vlinder16,0.0,12.2,Stabroek,,1399200.0
2020-06-06 09:00:00,13.4,100104,235,25.7,61,vlinder16,0.0,13.3,Stabroek,,1650600.0
2020-06-06 10:00:00,14.0,100139,205,30.7,55,vlinder16,0.0,14.1,Stabroek,,2333700.0
2020-06-06 11:00:00,14.5,100156,235,27.3,51,vlinder16,0.0,14.5,Stabroek,,2021800.0
2020-06-06 12:00:00,15.2,100212,235,36.4,49,vlinder16,0.0,14.7,Stabroek,,2346900.0
2020-06-06 13:00:00,15.4,100221,225,34.5,46,vlinder16,0.0,15.7,Stabroek,,2434200.0
2020-06-06 14:00:00,15.8,100204,235,32.4,46,vlinder16,0.0,15.7,Stabroek,,2320300.0
2020-06-06 15:00:00,15.0,100260,235,34.3,50,vlinder16,0.0,15.3,Stabroek,,1929800.0
2020-06-06 16:00:00,15.0,100261,245,26.9,50,vlinder16,0.0,15.1,Stabroek,,1201600.0
2020-06-06 17:00:00,14.4,100295,235,27.3,53,vlinder16,0.0,14.2,Stabroek,,556300.0
2020-06-06 18:00:00,13.7,100313,225,25.5,61,vlinder16,0.0,13.4,Stabroek,,254300.0
2020-06-06 19:00:00,12.4,100323,195,16.4,74,vlinder16,0.0,11.7,Stabroek,,107200.0
2020-06-06 20:00:00,12.4,100343,205,18.3,73,vlinder16,0.0,12.0,Stabroek,,67600.0
2020-06-06 21:00:00,12.4,100337,205,21.7,72,vlinder16,0.0,11.7,Stabroek,,0.0
2020-06-06 22:00:00,12.3,100354,215,23.1,74,vlinder16,0.0,12.1,Stabroek,,0.0
2020-06-06 23:00:00,12.0,100369,225,21.0,79,vlinder16,0.0,11.3,Stabroek,,0.0
2020-06-07 00:00:00,11.9,100365,235,18.6,82,vlinder16,0.0,11.2,Stabroek,,0.0
2020-06-07 01:00:00,11.4,100407,235,18.9,84,vlinder16,0.0,11.0,Stabroek,,0.0
2020-06-07 02:00:00,11.3,100428,225,17.5,86,vlinder16,0.6000000000000001,11.0,Stabroek,,0.0
2020-06-07 03:00:00,11.2,100481,225,15.3,89,vlinder16,0.0,10.8,Stabroek,,0.0
2020-06-07 04:00:00,10.8,100539,235,15.4,89,vlinder16,0.0,10.6,Stabroek,,100.0
2020-06-07 05:00:00,10.7,100590,235,16.6,89,vlinder16,0.0,10.8,Stabroek,,82100.0
2020-06-07 06:00:00,11.2,100679,215,12.1,88,vlinder16,0.0,11.1,Stabroek,,238900.0
2020-06-07 07:00:00,12.3,100763,255,17.0,82,vlinder16,0.2,12.2,Stabroek,,422500.0
2020-06-07 08:00:00,13.5,100853,255,10.9,75,vlinder16,0.0,13.6,Stabroek,,1670700.0
2020-06-07 09:00:00,14.0,100899,255,9.7,73,vlinder16,0.0,14.7,Stabroek,,1357600.0
2020-06-07 10:00:00,14.7,100989,255,11.2,73,vlinder16,0.0,15.4,Stabroek,,1667300.0
2020-06-07 11:00:00,16.6,101034,55,5.8,62,vlinder16,0.0,16.5,Stabroek,,2268600.0
2020-06-07 12:00:00,17.4,101068,245,11.4,54,vlinder16,0.0,17.2,Stabroek,,2953500.0
2020-06-07 13:00:00,17.9,101102,255,6.8,53,vlinder16,0.0,17.2,Stabroek,,2814700.0
2020-06-07 14:00:00,18.1,101109,255,7.8,52,vlinder16,0.0,17.7,Stabroek,,1756500.0
2020-06-07 15:00:00,17.7,101166,35,4.7,61,vlinder16,0.0,17.0,Stabroek,,1521900.0
2020-06-07 16:00:00,16.6,101211,355,8.0,67,vlinder16,0.0,16.0,Stabroek,,1430800.0
2020-06-07 17:00:00,16.6,101267,95,6.1,65,vlinder16,0.0,16.3,Stabroek,,1111900.0
2020-06-07 18:00:00,15.1,101360,265,4.9,72,vlinder16,0.0,14.6,Stabroek,,496200.0
2020-06-07 19:00:00,14.5,101409,45,4.6,68,vlinder16,0.0,14.0,Stabroek,,158200.0
2020-06-07 20:00:00,13.9,101436,225,3.7,76,vlinder16,0.0,13.3,Stabroek,,13300.0
2020-06-07 21:00:00,13.7,101478,255,2.3,79,vlinder16,0.0,13.1,Stabroek,,0.0
2020-06-07 22:00:00,13.3,101505,205,2.2,81,vlinder16,0.0,12.8,Stabroek,,0.0
2020-06-07 23:00:00,13.0,101526,245,2.1,81,vlinder16,0.0,12.7,Stabroek,,0.0
2020-06-08 00:00:00,12.8,101529,175,2.5,83,vlinder16,0.0,12.5,Stabroek,,0.0
2020-06-08 01:00:00,12.6,101513,255,4.5,84,vlinder16,0.0,12.4,Stabroek,,0.0
